OBJECTID,AAC,District Number,DIST_NAME,State Code,Source,Fire Behaviour Index,Fire Danger,Forecast_Period,Start_Time,End_Time,Start_Time_UTC_str,End_Time_UTC_str
123,WA_FW073,42,Stirling West,WA,DFES,12,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
124,WA_FW074,41,Stirling North,WA,DFES,14,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
125,WA_FW075,44,Fitzgerald Coast,WA,DFES,12,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
126,WA_FW076,45,Fitzgerald Inland,WA,DFES,12,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
127,WA_FW077,46,Esperance Coast,WA,DFES,12,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
128,WA_FW078,47,Esperance Inland,WA,DFES,11,No Rating,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
129,WA_FW079,4,Kimberley Inland,WA,DFES,8,No Rating,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
130,WA_FW080,8,Ashburton Inland,WA,DFES,23,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
131,WA_FW081,10,Exmouth Gulf Coast,WA,DFES,17,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
132,WA_FW082,20,Eucla,WA,DFES,7,No Rating,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
133,WA_FW083,11,North Interior,WA,DFES,22,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
134,WA_FW084,29,Geographe,WA,DFES,16,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
135,WA_FW085,43,Stirling Coast,WA,DFES,12,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
136,WA_FW086,39,Roe,WA,DFES,14,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
137,WA_FW087,40,Lakes,WA,DFES,13,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
138,WA_FW088,36,Avon,WA,DFES,16,Moderate,1,5/5/2026 9:36:00 PM,5/6/2026 4:00:00 PM,2026-05-05T21:36:00Z,2026-05-06T16:00:00Z
139,NSW_FW001,1,Far North Coast,NSW,RFS,16,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
